Sample,Unit Name,Lithology,Depth_m,d13c_org,d13c_carb,,,,Delta_delta,d18o_carb,,TC%,TIC%,TOC%,H/C
Sat531,Guojiaba Fm.,black shale,154.1,-35.8,,,,,,,,5.3,5,0.2,0.4
Sat530,Guojiaba Fm.,black shale,131.5,-31.1,0.6,,,,31.7,-13.2,,,1.2,,0.3
Sat529,Guojiaba Fm.,black shale,124.5,-30.4,,,,,,,,2.9,2.3,0.6,
Sat528,Guojiaba Fm.,black shale,118.5,-30.1,,,,,,,,2.9,2.5,0.4,1
Sat527,Guojiaba Fm.,black shale,113.5,-31.3,0.1,,,,31.3,-12,,,2,,
Sat526,Guojiaba Fm.,black shale,109,-30.9,,,,,,,,,,,
Sat525,Guojiaba Fm.,black shale,102.4,-31.1,0.4,,,,31.5,-11.8,,2.5,1.9,0.6,
Sat524,Guojiaba Fm.,black shale,99.4,-30.5,,,,,,,,1.8,1.1,0.7,1
Sat523,Guojiaba Fm.,black shale,93.5,-31.5,,,,,,,,2.9,2.1,0.8,
Sat522,Guojiaba Fm.,black shale,90,-31.4,,,,,,,,2.2,1.6,0.6,
Sat521,Guojiaba Fm.,black shale,86.1,-31.3,-0.5,,,,30.8,-13.1,,2.5,1.6,0.9,1.1
Sat520,Guojiaba Fm.,black shale,80.8,-31.4,-0.6,,,,30.8,-13.5,,2.9,2.1,0.8,
Sat519,Guojiaba Fm.,black shale,76.5,-31.2,,,,,,,,2.7,1.6,1.1,0.5
Sat518,Guojiaba Fm.,black shale,70.7,-31.7,-1.4,,,,30.3,-12.5,,2.3,1,1.3,
Sat517,Guojiaba Fm.,black shale,67.1,-32.1,,,,,,,,3,1.4,1.6,
Sat516,Guojiaba Fm.,black shale,61.5,-33.9,-2.5,,,,31.4,-12.7,,2.1,0.3,1.7,0.8
Sat515,Guojiaba Fm.,black shale,56.3,-34.2,,,,,,,,2.7,0.8,1.9,
Sat514,Guojiaba Fm.,black shale,53.5,-33.7,,,,,,,,,,,0.8
Sat513,Guojiaba Fm.,black shale,50.9,-34.6,,,,,,,,3.3,0.2,3.2,
Sat512,Guojiaba Fm.,black shale,46.4,-34,-2.4,,,,31.6,-12.6,,4.4,0.5,3.9,
Sat511,Guojiaba Fm.,black shale,42.4,-33.8,,,,,,,,3.6,0.4,3.2,0.8
Sat510,Guojiaba Fm.,black shale,38.4,-34,-2.4,,,,31.6,-12.7,,4.7,0.7,4.1,
Sat509,Guojiaba Fm.,black shale,36.4,-34.2,,,,,,,,3.4,0.3,3.1,
